Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2,27.0,28.0,0.0,14.0,1.4,4.1,0.351,0.6,2.0,0.291,0.9,2.1,0.407,0.421,0.4,0.4,0.917,0.2,1.3,1.5,1.3,0.3,0.1,0.8,1.5,3.8
2,26.0,38.0,0.0,26.4,6.6,14.6,0.453,1.7,5.2,0.333,4.9,9.4,0.52,0.513,1.8,2.1,0.861,1.0,2.3,3.3,2.3,0.7,0.2,1.7,1.6,16.8
4,21.0,22.0,20.0,29.5,7.6,13.3,0.572,0.7,2.4,0.302,6.9,10.9,0.632,0.599,2.6,3.7,0.695,3.6,6.5,10.2,2.5,0.1,0.5,2.2,3.3,18.5
5,21.0,39.0,0.0,18.7,2.6,5.4,0.483,0.5,1.7,0.292,2.1,3.7,0.568,0.528,1.3,1.6,0.813,1.3,2.9,4.2,0.9,0.3,0.8,1.1,2.4,7.1
1,31.0,38.0,38.0,27.7,3.4,7.6,0.449,0.9,2.5,0.383,2.4,5.1,0.482,0.512,1.4,1.9,0.775,0.5,2.4,2.9,5.5,1.4,0.2,1.5,1.9,9.2
1,31.0,37.0,37.0,34.2,6.8,16.4,0.416,2.1,6.2,0.345,4.7,10.2,0.459,0.481,4.4,5.2,0.845,0.6,2.9,3.5,6.2,1.3,0.4,1.8,1.7,20.2
2,26.0,26.0,1.0,18.7,2.3,5.7,0.409,1.0,3.4,0.281,1.4,2.3,0.6,0.493,0.5,0.8,0.7,0.9,2.9,3.8,2.1,0.5,0.6,0.4,1.2,6.2
1,25.0,34.0,8.0,15.5,3.0,6.4,0.468,1.2,2.8,0.442,1.7,3.6,0.488,0.565,0.4,0.5,0.765,0.3,2.0,2.3,1.7,0.4,0.1,0.8,1.4,7.6
3,28.0,35.0,35.0,34.4,4.5,10.3,0.431,2.4,6.4,0.378,2.0,3.9,0.518,0.548,1.9,2.5,0.764,0.8,4.7,5.5,1.3,2.1,1.3,1.3,3.6,13.3
2,26.0,28.0,15.0,26.1,3.0,8.9,0.343,2.3,6.0,0.387,0.7,2.9,0.25,0.474,1.1,1.4,0.789,0.5,3.0,3.5,1.1,0.6,0.3,1.1,2.4,9.5
3,28.0,31.0,25.0,20.9,2.1,5.2,0.413,0.7,2.6,0.272,1.4,2.5,0.557,0.481,0.5,0.8,0.615,1.4,2.3,3.7,0.9,0.4,0.5,0.8,2.5,5.5
2,38.0,35.0,0.0,17.0,2.1,6.2,0.346,0.7,2.6,0.272,1.4,3.6,0.4,0.403,1.3,1.5,0.833,0.1,1.0,1.1,3.2,0.4,0.2,1.4,1.2,6.3
3,28.0,38.0,6.0,27.2,4.1,9.7,0.425,2.2,6.1,0.352,1.9,3.5,0.552,0.537,2.2,2.9,0.745,0.7,4.1,4.7,1.5,0.7,0.4,0.9,2.0,12.5
4,31.0,36.0,21.0,18.8,1.5,3.1,0.473,0.7,1.4,0.5,0.8,1.7,0.452,0.585,0.3,0.3,0.833,1.1,3.1,4.2,1.0,0.6,0.3,0.5,1.6,3.9
2,28.0,33.0,1.0,16.9,2.0,4.8,0.414,1.3,2.6,0.494,0.7,2.1,0.314,0.551,0.2,0.2,1.0,0.3,1.1,1.3,0.9,0.3,0.1,0.7,1.3,5.5
1,30.0,28.0,28.0,34.7,9.6,19.8,0.488,4.9,11.0,0.447,4.7,8.7,0.541,0.613,4.7,5.2,0.91,0.6,4.5,5.1,5.3,1.3,0.4,3.1,2.6,28.9
2,27.0,17.0,0.0,14.4,2.2,5.2,0.42,1.6,4.0,0.397,0.6,1.2,0.5,0.574,0.4,0.5,0.875,0.3,1.1,1.4,0.5,0.8,0.1,0.8,1.5,6.4
5,25.0,34.0,34.0,37.3,10.4,20.5,0.506,1.0,3.1,0.324,9.4,17.4,0.538,0.53,6.9,8.6,0.803,3.4,10.0,13.4,4.4,1.7,2.6,2.1,2.5,28.7
5,29.0,39.0,1.0,18.0,2.4,3.9,0.623,0.0,0.1,0.0,2.4,3.8,0.631,0.623,0.8,1.6,0.525,3.0,5.4,8.4,0.7,0.5,0.4,0.8,2.8,5.6
5,21.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,29.0,30.0,19.0,24.2,3.6,7.6,0.467,1.0,2.8,0.365,2.5,4.8,0.528,0.535,1.4,1.6,0.837,1.5,5.9,7.4,1.2,1.1,1.0,1.5,3.4,9.5
3,24.0,21.0,5.0,17.0,3.1,6.0,0.52,0.3,1.1,0.292,2.8,4.8,0.574,0.548,0.4,0.6,0.75,1.0,2.3,3.3,0.9,1.1,0.1,0.5,1.2,7.0
1,28.0,23.0,0.0,13.5,1.9,4.1,0.457,1.0,2.2,0.431,0.9,1.9,0.488,0.574,0.6,0.7,0.933,0.0,1.2,1.2,3.0,0.3,0.0,1.3,1.3,5.3
3,33.0,4.0,0.0,8.0,1.3,3.3,0.385,0.0,1.3,0.0,1.3,2.0,0.625,0.385,0.5,0.8,0.667,1.5,1.5,3.0,0.3,0.8,0.3,0.5,0.8,3.0
2,29.0,39.0,39.0,35.1,8.7,18.2,0.477,0.2,1.0,0.175,8.5,17.2,0.495,0.482,5.3,6.3,0.841,0.7,5.4,6.1,6.4,1.0,0.5,2.4,2.2,22.8
3,22.0,5.0,0.0,4.4,0.4,1.4,0.286,0.2,0.6,0.333,0.2,0.8,0.25,0.357,0.4,0.4,1.0,0.2,0.4,0.6,0.0,0.0,0.0,0.4,1.0,1.4
4,22.0,27.0,0.0,9.7,1.4,2.4,0.569,0.0,0.0,0.0,1.4,2.4,0.578,0.569,0.6,0.8,0.773,0.9,2.8,3.7,0.3,0.4,0.5,0.7,1.3,3.4
2,20.0,32.0,2.0,12.5,2.0,4.2,0.481,0.1,0.7,0.19,1.9,3.5,0.536,0.496,0.9,1.4,0.644,0.9,1.4,2.4,0.4,0.5,0.3,0.6,1.8,5.0
