Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5,28.0,14.0,0.0,13.4,2.2,4.8,0.463,0.8,2.2,0.355,1.4,2.6,0.556,0.545,0.4,0.7,0.6,1.1,3.9,5.1,1.0,0.5,0.8,0.9,1.1,5.6
4,23.0,35.0,24.0,27.4,3.3,6.8,0.489,1.7,3.8,0.433,1.7,2.9,0.563,0.612,1.7,2.2,0.803,1.5,4.1,5.7,1.0,0.5,0.5,0.8,1.7,10.0
5,24.0,29.0,2.0,13.2,2.6,5.2,0.507,0.4,0.9,0.48,2.2,4.3,0.512,0.547,1.7,2.3,0.735,2.0,3.1,5.1,0.9,0.3,0.4,1.0,1.7,7.4
3,23.0,33.0,11.0,17.2,2.7,7.0,0.39,0.8,2.5,0.298,2.0,4.5,0.442,0.444,0.8,1.3,0.614,0.3,2.8,3.1,0.9,0.7,0.1,1.1,1.6,7.0
2,26.0,38.0,38.0,31.4,7.6,16.1,0.471,3.2,7.3,0.433,4.4,8.8,0.503,0.569,1.8,2.1,0.85,1.2,3.9,5.0,2.3,0.5,0.4,2.0,2.5,20.2
5,36.0,14.0,0.0,14.1,1.7,3.4,0.511,0.0,0.1,0.0,1.7,3.2,0.533,0.511,0.8,1.0,0.786,0.9,2.9,3.7,0.7,0.4,0.4,0.3,2.4,4.2
1,32.0,25.0,13.0,23.7,3.2,6.8,0.476,0.8,2.3,0.362,2.4,4.5,0.536,0.538,1.1,1.5,0.737,0.9,1.5,2.4,2.5,0.8,0.1,0.9,2.3,8.4
3,27.0,27.0,10.0,21.6,1.5,3.7,0.396,0.7,2.1,0.316,0.8,1.6,0.5,0.485,0.4,0.7,0.632,0.9,2.4,3.3,1.3,0.6,0.3,0.7,1.7,4.1
1,22.0,21.0,0.0,12.4,2.2,5.3,0.42,0.7,2.6,0.255,1.6,2.7,0.579,0.482,0.9,1.0,0.864,0.1,1.7,1.8,1.6,0.5,0.4,0.8,1.4,6.0
2,28.0,39.0,39.0,36.9,8.0,17.1,0.471,1.6,5.1,0.322,6.4,11.9,0.534,0.519,3.2,4.2,0.778,1.2,3.3,4.5,8.5,1.6,0.8,3.7,2.7,20.9
2,29.0,38.0,38.0,34.9,4.0,10.4,0.383,2.6,7.1,0.359,1.4,3.3,0.435,0.506,1.1,1.2,0.891,0.5,3.9,4.4,2.2,1.8,0.6,1.2,2.1,11.6
3,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24.0,34.0,19.0,24.0,3.6,8.9,0.405,0.2,1.0,0.242,3.4,8.0,0.424,0.418,2.4,3.7,0.659,1.4,4.4,5.8,1.9,0.8,0.5,1.2,2.0,9.9
5,25.0,38.0,1.0,15.5,3.1,4.7,0.669,0.0,0.0,0.0,3.1,4.7,0.669,0.669,1.5,2.1,0.709,1.7,2.8,4.5,0.7,0.6,1.2,0.8,2.4,7.7
2,26.0,34.0,34.0,28.0,4.6,10.3,0.45,1.3,3.4,0.391,3.3,6.9,0.479,0.514,2.2,2.5,0.894,0.4,2.1,2.5,2.0,0.9,0.1,0.9,2.4,12.9
5,32.0,29.0,29.0,28.7,5.0,10.1,0.5,1.3,3.5,0.373,3.7,6.6,0.568,0.565,0.8,1.2,0.706,1.6,4.7,6.3,3.7,0.8,1.4,1.5,1.8,12.2
3,25.0,19.0,6.0,23.6,2.7,5.6,0.477,1.4,3.7,0.366,1.3,1.9,0.694,0.598,2.1,2.6,0.796,0.9,2.5,3.4,0.9,0.5,0.3,0.7,1.9,8.8
5,33.0,9.0,9.0,25.6,4.8,7.7,0.623,0.0,0.0,0.0,4.8,7.7,0.623,0.623,3.2,5.3,0.604,2.7,6.6,9.2,0.4,0.8,0.4,1.8,3.8,12.8
2,20.0,37.0,21.0,25.5,3.0,7.2,0.412,1.5,4.0,0.381,1.5,3.2,0.45,0.517,0.6,0.8,0.724,0.8,2.1,2.9,2.3,0.7,0.4,1.5,1.9,8.0
3,22.0,34.0,4.0,17.6,1.7,3.9,0.447,0.3,0.9,0.281,1.5,2.9,0.5,0.481,0.5,0.9,0.552,0.6,2.9,3.5,0.7,0.4,0.1,0.6,1.2,4.2
5,29.0,36.0,27.0,28.0,6.6,12.4,0.53,0.8,2.6,0.287,5.8,9.8,0.595,0.561,2.0,2.5,0.802,2.0,5.3,7.3,1.5,0.5,1.4,1.7,3.2,15.9
3,35.0,34.0,11.0,23.2,1.9,4.2,0.458,0.8,2.0,0.377,1.2,2.2,0.533,0.549,0.6,1.0,0.647,0.8,2.7,3.5,3.0,0.7,0.8,0.8,1.4,5.3
4,31.0,25.0,2.0,19.9,2.8,6.3,0.439,0.9,2.6,0.354,1.8,3.7,0.5,0.513,1.1,1.3,0.875,1.6,4.0,5.6,1.2,0.6,0.2,1.0,2.9,7.6
3,31.0,39.0,39.0,30.9,4.3,9.7,0.439,2.0,5.5,0.367,2.3,4.2,0.533,0.543,1.1,1.7,0.642,0.3,3.7,4.0,4.7,1.6,0.2,2.2,2.4,11.7
2,21.0,28.0,28.0,32.0,6.2,13.4,0.464,0.6,2.0,0.291,5.6,11.4,0.494,0.485,3.2,5.1,0.634,0.7,3.9,4.6,2.5,0.6,0.7,2.5,2.7,16.2
1,26.0,34.0,34.0,32.3,8.8,18.0,0.488,2.7,6.6,0.408,6.1,11.4,0.534,0.562,2.9,3.4,0.853,1.3,3.7,4.9,6.6,1.6,0.4,2.6,2.3,23.1
3,21.0,32.0,21.0,24.4,2.9,6.9,0.418,0.7,2.4,0.299,2.2,4.5,0.483,0.47,1.8,2.1,0.838,1.0,3.8,4.8,0.8,0.8,1.2,1.1,2.1,8.3
3,24.0,28.0,12.0,16.8,1.5,4.0,0.384,0.3,1.1,0.3,1.2,2.9,0.415,0.424,1.3,1.5,0.837,0.4,1.5,1.9,0.8,0.4,0.2,0.6,1.7,4.7
1,24.0,6.0,0.0,6.5,1.3,2.5,0.533,0.3,1.0,0.333,1.0,1.5,0.667,0.6,0.7,0.7,1.0,0.3,0.2,0.5,0.8,0.3,0.0,0.2,0.7,3.7
1,20.0,24.0,0.0,11.8,1.5,3.8,0.4,0.6,1.6,0.368,0.9,2.2,0.423,0.478,0.5,0.8,0.722,0.1,0.7,0.8,0.5,0.1,0.0,0.6,1.4,4.1
5,19.0,38.0,36.0,25.5,5.1,9.8,0.52,0.8,2.4,0.337,4.3,7.4,0.58,0.562,2.4,3.1,0.778,1.2,3.5,4.7,1.2,0.9,1.6,1.6,3.9,13.4
2,21.0,40.0,9.0,21.6,3.4,8.7,0.393,0.7,2.2,0.292,2.8,6.5,0.427,0.43,1.4,2.1,0.647,0.6,3.3,3.9,2.1,1.0,0.6,2.3,2.4,8.9
3,23.0,37.0,3.0,21.1,2.4,5.6,0.431,1.1,3.0,0.351,1.4,2.6,0.52,0.524,0.8,0.9,0.8,0.5,2.4,2.9,1.3,0.5,0.2,0.4,1.3,6.7
1,28.0,36.0,36.0,28.4,5.1,12.5,0.405,2.0,5.8,0.344,3.1,6.7,0.458,0.486,3.1,3.5,0.866,0.7,2.1,2.8,4.4,0.7,0.2,2.1,2.9,15.2
4,34.0,34.0,34.0,34.6,10.0,19.3,0.518,2.0,5.6,0.356,8.0,13.7,0.585,0.57,5.3,7.8,0.682,0.9,7.4,8.3,7.1,1.3,0.7,3.4,1.6,27.3
4,25.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
4,31.0,39.0,6.0,20.2,2.7,5.7,0.473,1.2,3.2,0.368,1.5,2.5,0.608,0.577,1.1,1.3,0.843,1.2,3.7,4.9,1.7,0.4,0.2,0.8,2.4,7.7
4,22.0,4.0,0.0,3.0,0.3,0.8,0.333,0.0,0.0,0.0,0.3,0.8,0.333,0.333,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.8,0.5
5,31.0,33.0,2.0,9.4,1.4,2.7,0.523,0.2,0.6,0.35,1.2,2.1,0.574,0.563,0.6,0.8,0.76,0.7,1.8,2.5,1.2,0.3,0.2,0.9,1.9,3.6
4,31.0,21.0,19.0,20.7,3.3,7.6,0.434,1.0,2.9,0.344,2.3,4.7,0.49,0.5,0.9,1.2,0.731,0.4,2.8,3.2,2.2,0.7,0.3,1.0,2.1,8.5
3,22.0,31.0,7.0,21.3,3.3,8.4,0.39,1.2,4.3,0.276,2.1,4.0,0.512,0.461,0.9,1.2,0.75,0.7,3.2,3.9,1.2,0.9,0.2,1.5,2.1,8.6
1,26.0,30.0,4.0,25.4,4.1,9.3,0.444,1.7,4.3,0.391,2.5,5.0,0.49,0.534,1.7,2.4,0.704,0.4,2.5,3.0,2.4,1.0,0.5,1.5,1.8,11.6
3,31.0,24.0,13.0,15.4,1.4,3.4,0.402,0.8,2.0,0.396,0.6,1.4,0.412,0.518,0.2,0.3,0.833,0.4,1.8,2.3,0.7,0.4,0.3,0.5,1.8,3.8
5,23.0,36.0,36.0,31.1,6.8,13.6,0.497,1.1,3.4,0.317,5.7,10.2,0.557,0.537,3.6,4.3,0.838,2.6,7.4,10.0,7.6,1.4,0.7,3.3,2.9,18.2
5,23.0,24.0,22.0,17.1,2.2,3.1,0.716,0.0,0.0,0.0,2.2,3.1,0.716,0.716,1.0,1.5,0.649,1.3,1.8,3.1,1.2,0.5,1.0,0.7,2.6,5.4
3,21.0,27.0,5.0,17.7,2.5,5.2,0.486,0.5,1.4,0.378,2.0,3.8,0.524,0.536,1.2,1.9,0.615,2.0,2.4,4.5,0.5,0.8,0.7,0.7,2.1,6.7
3,25.0,12.0,0.0,11.0,1.2,2.9,0.4,0.5,1.3,0.4,0.7,1.7,0.4,0.486,1.1,1.4,0.765,0.7,1.5,2.2,0.4,0.3,0.1,0.3,1.6,3.9
1,22.0,38.0,6.0,20.3,2.1,5.4,0.39,0.5,1.7,0.297,1.6,3.7,0.433,0.437,0.6,0.7,0.815,0.3,1.4,1.7,3.8,1.3,0.1,0.6,0.9,5.3
5,30.0,38.0,38.0,31.2,4.1,6.4,0.642,0.0,0.0,0.0,4.1,6.4,0.642,0.642,2.8,4.0,0.709,3.1,11.0,14.2,2.1,0.7,1.1,2.3,2.4,11.0
1,27.0,38.0,0.0,25.9,3.0,6.6,0.452,0.8,2.2,0.369,2.2,4.4,0.494,0.514,0.3,0.5,0.6,0.4,3.3,3.7,3.9,1.3,0.2,1.3,1.7,7.1
4,25.0,22.0,0.0,11.6,2.0,4.1,0.489,0.6,1.8,0.333,1.4,2.3,0.608,0.561,1.0,1.5,0.667,0.8,1.7,2.5,1.1,0.2,0.2,0.8,1.1,5.6
5,26.0,39.0,23.0,26.5,5.8,10.8,0.54,0.2,0.5,0.35,5.6,10.3,0.55,0.549,2.6,3.1,0.835,3.9,6.8,10.7,2.0,0.4,0.4,1.8,2.5,14.4
2,22.0,18.0,8.0,19.6,2.8,6.8,0.418,1.2,3.3,0.356,1.7,3.5,0.476,0.504,0.3,0.6,0.6,0.2,2.6,2.8,1.3,0.3,0.2,0.8,1.2,7.2
4,25.0,30.0,1.0,19.3,3.0,6.2,0.487,0.2,0.6,0.353,2.8,5.7,0.5,0.503,1.6,2.0,0.797,1.9,3.1,4.9,1.0,0.5,1.0,0.8,2.7,7.8
3,25.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,27.0,33.0,3.0,18.0,2.2,5.1,0.438,0.9,3.0,0.296,1.4,2.2,0.634,0.524,0.8,1.0,0.765,1.1,2.7,3.8,0.8,0.5,1.2,0.6,1.4,6.2
1,27.0,8.0,0.0,9.1,0.6,3.5,0.179,0.4,2.6,0.143,0.3,0.9,0.286,0.232,0.1,0.3,0.5,0.1,0.4,0.5,0.6,0.3,0.0,0.3,1.1,1.8
4,19.0,32.0,14.0,26.6,4.3,11.6,0.376,1.7,4.7,0.36,2.7,6.9,0.386,0.449,1.8,2.7,0.678,0.9,3.4,4.3,0.9,0.5,0.3,1.2,2.3,12.2
2,21.0,31.0,3.0,15.1,2.2,5.6,0.394,1.0,3.3,0.314,1.2,2.4,0.507,0.486,0.6,0.7,0.826,0.3,2.1,2.4,1.1,0.7,0.1,0.5,1.4,6.1
4,23.0,17.0,4.0,12.7,2.1,4.7,0.438,1.5,3.3,0.464,0.5,1.4,0.375,0.6,0.5,0.6,0.818,0.6,1.9,2.5,1.2,0.3,0.4,0.4,0.7,6.2
2,37.0,33.0,0.0,17.2,2.6,6.0,0.442,1.8,4.3,0.418,0.8,1.7,0.5,0.591,0.8,1.0,0.818,0.1,1.6,1.7,0.9,0.3,0.2,0.8,1.5,7.9
5,29.0,24.0,1.0,13.5,1.8,3.8,0.473,0.0,0.0,0.0,1.8,3.8,0.473,0.473,0.2,0.5,0.455,1.5,3.5,4.9,1.0,0.5,0.4,0.6,1.9,3.8
3,20.0,23.0,11.0,19.2,3.2,6.6,0.48,0.7,2.5,0.298,2.4,4.1,0.589,0.536,1.5,1.7,0.895,0.9,2.7,3.7,0.6,0.5,0.3,1.0,2.2,8.6
3,23.0,38.0,36.0,32.6,7.0,14.8,0.472,1.8,5.8,0.302,5.2,8.9,0.584,0.532,2.6,3.3,0.78,0.7,5.2,5.8,2.4,0.7,0.5,1.9,2.3,18.3
4,22.0,10.0,0.0,9.4,1.1,2.6,0.423,0.3,1.0,0.3,0.8,1.6,0.5,0.481,0.6,1.1,0.545,0.2,1.7,1.9,0.4,0.2,0.2,0.6,1.9,3.1
2,26.0,36.0,36.0,29.3,5.5,12.3,0.448,1.4,3.9,0.348,4.2,8.4,0.495,0.503,2.8,3.3,0.857,0.8,4.8,5.6,2.0,1.1,0.3,0.9,2.1,15.3
2,23.0,33.0,32.0,34.5,8.3,18.2,0.456,1.8,5.1,0.345,6.5,13.1,0.499,0.504,5.2,6.0,0.868,0.4,4.1,4.5,4.5,1.0,0.5,3.7,2.3,23.5
3,24.0,28.0,20.0,14.1,2.1,4.1,0.509,0.7,2.0,0.357,1.4,2.1,0.655,0.596,0.3,0.5,0.6,0.6,1.6,2.2,0.3,0.5,0.3,0.6,1.0,5.2
4,21.0,18.0,0.0,6.8,0.9,2.4,0.395,0.2,0.7,0.25,0.8,1.7,0.452,0.43,0.2,0.2,0.75,0.6,1.1,1.6,0.3,0.1,0.1,0.3,0.6,2.2
2,33.0,10.0,2.0,14.9,2.0,4.5,0.444,0.5,1.5,0.333,1.5,3.0,0.5,0.5,0.8,1.2,0.667,0.6,1.8,2.4,1.4,0.8,0.2,0.4,1.3,5.3
2,26.0,16.0,0.0,12.2,1.7,3.6,0.466,0.8,1.9,0.419,0.9,1.7,0.519,0.578,0.7,0.8,0.846,0.2,1.6,1.8,0.2,0.5,0.0,0.5,1.2,4.9
5,25.0,34.0,20.0,20.2,4.1,8.3,0.491,0.6,1.9,0.313,3.5,6.4,0.543,0.527,1.9,2.9,0.636,2.1,3.4,5.5,1.0,0.3,1.0,1.6,2.8,10.6
3,27.0,31.0,31.0,34.7,9.5,19.0,0.499,1.7,4.7,0.356,7.8,14.3,0.546,0.543,6.5,7.6,0.851,1.3,6.7,8.0,2.9,1.6,0.5,2.1,1.5,27.1
5,26.0,36.0,0.0,14.0,2.0,4.0,0.5,0.8,1.9,0.426,1.2,2.1,0.566,0.601,0.8,0.9,0.853,0.9,3.2,4.1,1.1,0.3,0.1,0.7,1.6,5.6
4,29.0,22.0,1.0,10.9,1.8,3.0,0.615,0.0,0.4,0.0,1.8,2.6,0.702,0.615,0.7,0.9,0.789,0.7,1.8,2.5,0.4,0.3,0.1,0.6,1.4,4.3
3,24.0,14.0,14.0,29.7,6.9,14.6,0.475,1.4,4.4,0.311,5.6,10.2,0.545,0.522,3.1,4.4,0.721,1.0,3.3,4.3,3.7,1.2,0.4,2.1,2.4,18.4
1,28.0,39.0,39.0,35.5,8.8,19.5,0.45,3.0,7.8,0.387,5.7,11.7,0.492,0.528,6.1,6.8,0.894,0.8,3.9,4.6,5.8,0.9,0.5,2.8,1.9,26.6
1,30.0,34.0,0.0,18.7,3.4,7.1,0.479,1.0,2.6,0.378,2.4,4.4,0.54,0.55,2.7,3.3,0.829,0.3,2.1,2.4,3.4,0.8,0.1,1.8,2.0,10.5
1,33.0,29.0,0.0,16.3,1.9,4.1,0.45,0.0,0.1,0.0,1.9,4.1,0.458,0.45,0.8,1.1,0.75,0.8,1.4,2.2,2.2,0.6,0.6,0.7,1.2,4.6
2,26.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5,22.0,39.0,16.0,20.6,2.9,4.6,0.629,0.0,0.2,0.143,2.8,4.4,0.649,0.632,0.8,1.4,0.611,2.5,3.0,5.5,1.8,0.4,0.7,0.7,2.9,6.6
5,30.0,37.0,37.0,27.5,4.3,10.1,0.429,2.6,7.1,0.372,1.7,3.0,0.563,0.559,1.2,1.5,0.804,0.4,3.5,3.9,1.0,0.5,1.9,1.0,2.1,12.5
5,30.0,32.0,0.0,16.8,2.5,4.9,0.503,0.1,0.4,0.231,2.4,4.5,0.528,0.513,0.7,0.9,0.7,1.1,1.4,2.5,1.0,0.1,0.9,1.5,1.8,5.7
4,30.0,4.0,4.0,34.0,5.3,16.3,0.323,1.8,6.0,0.292,3.5,10.3,0.341,0.377,6.8,8.3,0.818,2.5,11.0,13.5,3.5,0.3,0.3,2.5,3.5,19.0
1,32.0,30.0,30.0,34.1,5.0,11.5,0.433,2.1,6.6,0.325,2.8,4.9,0.578,0.526,2.4,2.8,0.845,0.5,4.0,4.5,9.8,1.4,0.5,2.7,2.2,14.4
1,25.0,3.0,0.0,5.7,1.0,1.0,1.0,0.7,0.7,1.0,0.3,0.3,1.0,1.333,1.3,1.3,1.0,0.3,1.3,1.7,0.3,0.0,0.0,0.3,0.7,4.0
3,23.0,17.0,1.0,6.9,0.8,2.4,0.317,0.3,1.2,0.238,0.5,1.2,0.4,0.378,0.2,0.4,0.667,0.2,0.8,1.0,0.2,0.2,0.1,0.3,0.8,2.1
4,22.0,11.0,0.0,3.7,0.5,0.7,0.75,0.3,0.4,0.75,0.3,0.4,0.75,0.938,0.1,0.2,0.5,0.4,0.5,0.8,0.2,0.1,0.0,0.1,0.4,1.5
4,23.0,36.0,1.0,19.4,3.4,8.4,0.409,0.8,3.3,0.237,2.6,5.1,0.519,0.455,1.6,2.3,0.699,0.8,3.6,4.4,1.3,0.6,0.5,1.4,1.7,9.2
1,28.0,38.0,2.0,23.3,2.9,6.9,0.416,0.9,2.3,0.382,2.0,4.6,0.434,0.481,1.1,1.6,0.7,0.3,1.6,1.9,3.0,0.9,0.1,1.1,1.5,7.7
2,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23.0,1.0,0.0,14.0,2.0,8.0,0.25,0.0,4.0,0.0,2.0,4.0,0.5,0.25,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
5,32.0,20.0,6.0,14.0,1.1,2.5,0.44,0.1,0.4,0.125,1.1,2.1,0.5,0.45,1.7,2.5,0.673,1.4,2.0,3.4,0.6,0.6,0.5,0.6,2.7,3.9
5,21.0,29.0,0.0,12.4,1.8,4.1,0.425,0.8,2.6,0.32,0.9,1.6,0.6,0.525,0.7,1.2,0.528,0.5,2.4,2.9,0.5,0.2,0.6,0.3,1.7,5.0
5,30.0,29.0,9.0,10.9,2.5,4.1,0.613,0.0,0.0,0.0,2.5,4.1,0.619,0.613,2.1,2.7,0.782,1.5,2.8,4.3,0.7,0.3,0.6,1.1,1.7,7.1
4,21.0,16.0,15.0,31.1,6.6,15.0,0.438,2.7,6.6,0.406,3.9,8.4,0.463,0.527,1.8,2.3,0.806,1.2,6.3,7.5,1.1,1.1,0.6,1.9,2.6,17.6
4,24.0,24.0,1.0,8.0,0.9,2.4,0.368,0.2,0.9,0.182,0.7,1.5,0.486,0.404,0.3,0.3,0.875,0.3,1.4,1.7,0.5,0.1,0.3,0.3,1.0,2.2
1,24.0,27.0,0.0,13.2,1.9,4.7,0.397,0.3,1.6,0.205,1.5,3.0,0.5,0.433,1.1,1.6,0.705,0.1,1.2,1.3,2.8,0.5,0.1,1.0,0.9,5.2
2,32.0,32.0,32.0,30.6,4.6,11.0,0.416,2.3,6.0,0.387,2.3,5.1,0.451,0.521,2.3,2.9,0.798,0.5,1.9,2.5,2.3,0.9,0.2,1.4,2.5,13.8
4,32.0,4.0,0.0,15.3,2.0,4.5,0.444,0.5,1.5,0.333,1.5,3.0,0.5,0.5,0.5,1.3,0.4,0.5,1.3,1.8,0.5,0.3,0.3,0.5,2.0,5.0
2,23.0,2.0,0.0,18.0,1.0,3.5,0.286,0.5,1.0,0.5,0.5,2.5,0.2,0.357,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.5,0.0,2.5
2,27.0,38.0,38.0,34.2,8.2,18.0,0.455,1.9,5.8,0.329,6.3,12.3,0.515,0.508,2.5,3.0,0.825,0.9,2.8,3.7,2.6,0.8,0.4,1.6,2.7,20.8
1,26.0,33.0,0.0,20.2,2.9,5.2,0.559,0.2,0.6,0.333,2.7,4.5,0.591,0.579,0.5,0.5,0.833,0.4,1.8,2.1,3.5,1.1,0.3,1.4,1.7,6.4
3,27.0,38.0,0.0,17.7,2.5,5.1,0.482,1.2,3.0,0.407,1.3,2.2,0.585,0.6,0.8,1.0,0.838,0.2,1.2,1.3,0.8,0.3,0.1,0.4,1.4,7.0
5,31.0,32.0,32.0,23.5,5.4,8.8,0.612,0.0,0.1,0.25,5.3,8.7,0.617,0.614,1.2,1.9,0.65,2.6,4.3,6.9,0.8,0.8,2.5,1.6,2.5,12.0
2,27.0,36.0,36.0,29.3,3.9,9.1,0.429,1.6,4.2,0.393,2.3,5.0,0.458,0.518,1.0,1.3,0.783,1.0,3.3,4.3,2.3,0.7,0.1,1.3,2.3,10.5
3,26.0,30.0,0.0,14.2,2.1,4.5,0.471,0.7,1.8,0.382,1.4,2.7,0.531,0.548,0.4,0.8,0.522,1.3,2.4,3.7,0.4,0.2,0.2,0.4,2.0,5.4
2,25.0,13.0,0.0,8.0,1.0,3.2,0.317,0.8,2.1,0.37,0.2,1.1,0.214,0.439,0.3,0.5,0.667,0.2,0.7,0.8,0.3,0.2,0.2,0.2,1.2,3.1
2,27.0,7.0,0.0,4.6,0.3,1.6,0.182,0.0,0.4,0.0,0.3,1.1,0.25,0.182,0.0,0.0,0.0,0.1,0.6,0.7,0.3,0.1,0.1,0.0,0.0,0.6
5,32.0,13.0,0.0,6.4,1.0,1.7,0.591,0.0,0.2,0.0,1.0,1.5,0.65,0.591,0.4,0.5,0.833,0.6,1.5,2.2,0.5,0.2,0.1,0.2,1.2,2.4
1,20.0,23.0,15.0,20.0,2.4,6.3,0.382,0.9,2.5,0.345,1.5,3.7,0.407,0.451,0.5,0.6,0.857,0.4,2.0,2.4,2.8,1.5,0.3,1.6,2.4,6.2
4,21.0,19.0,0.0,5.5,0.8,2.2,0.381,0.0,0.1,0.0,0.8,2.1,0.4,0.381,0.6,0.8,0.8,0.4,0.9,1.4,0.6,0.3,0.1,0.5,0.4,2.3
3,27.0,35.0,35.0,31.0,6.2,14.1,0.439,2.6,6.8,0.385,3.6,7.3,0.49,0.532,2.9,3.4,0.864,0.5,5.2,5.7,4.0,1.2,0.1,2.3,2.5,17.9
3,31.0,32.0,1.0,14.4,1.6,5.1,0.307,0.9,3.4,0.278,0.6,1.7,0.364,0.399,0.8,1.0,0.788,0.3,1.4,1.7,0.6,0.3,0.2,0.6,1.5,4.9
3,28.0,34.0,4.0,22.7,2.3,5.7,0.407,1.7,4.5,0.382,0.6,1.2,0.5,0.557,0.6,0.6,0.864,0.2,1.4,1.6,1.6,0.6,0.3,0.8,2.4,6.9
1,30.0,39.0,0.0,23.6,3.0,7.2,0.418,1.6,4.3,0.386,1.4,2.9,0.465,0.532,1.3,1.5,0.85,0.3,2.1,2.4,2.7,0.6,0.2,1.1,1.5,8.9
4,33.0,28.0,25.0,26.0,4.8,9.8,0.495,0.8,2.2,0.371,4.0,7.5,0.531,0.537,2.8,4.0,0.699,2.0,4.8,6.8,1.9,1.3,1.0,1.5,2.6,13.3
2,22.0,8.0,0.0,5.5,1.1,2.3,0.5,0.6,1.3,0.5,0.5,1.0,0.5,0.639,0.3,0.3,1.0,0.4,0.4,0.8,0.8,0.4,0.1,0.0,0.8,3.1
4,27.0,25.0,22.0,30.0,6.0,13.4,0.452,2.5,7.2,0.348,3.5,6.1,0.575,0.546,2.8,3.3,0.841,1.6,7.6,9.2,1.0,0.8,0.6,1.2,2.4,17.4
2,22.0,35.0,35.0,32.3,7.5,18.3,0.41,2.0,6.7,0.299,5.5,11.6,0.474,0.465,3.1,3.9,0.787,0.6,2.9,3.5,3.4,1.6,0.3,2.6,2.7,20.0
2,25.0,2.0,0.0,6.0,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.5,1.5
2,20.0,34.0,0.0,18.8,3.6,9.1,0.39,1.6,5.0,0.329,1.9,4.1,0.464,0.481,1.6,1.8,0.902,0.2,1.4,1.7,1.9,0.6,0.3,1.3,1.4,10.4
5,28.0,23.0,2.0,11.0,2.0,4.3,0.47,0.0,0.1,0.0,2.0,4.2,0.485,0.47,0.9,1.4,0.625,1.8,2.3,4.0,0.4,0.3,0.2,0.7,1.4,5.0
3,29.0,36.0,27.0,30.1,5.4,11.1,0.486,1.5,3.4,0.427,3.9,7.7,0.513,0.552,0.9,1.2,0.721,0.8,1.6,2.4,2.1,0.8,0.2,1.1,2.6,13.2
4,27.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2,23.0,4.0,0.0,7.3,1.0,2.5,0.4,0.3,0.8,0.333,0.8,1.8,0.429,0.45,0.3,0.5,0.5,0.0,1.3,1.3,1.0,0.5,0.0,0.3,0.3,2.5
4,29.0,34.0,17.0,27.4,5.5,11.0,0.497,2.3,5.2,0.435,3.2,5.8,0.553,0.6,2.2,2.5,0.881,0.8,5.3,6.0,1.4,0.6,0.3,1.4,2.8,15.4
4,29.0,34.0,15.0,26.0,4.2,9.6,0.436,1.4,4.2,0.333,2.8,5.4,0.516,0.509,1.7,2.1,0.781,1.2,3.9,5.1,1.8,0.7,0.6,1.4,3.4,11.5
1,23.0,36.0,1.0,24.6,3.9,8.5,0.459,1.2,2.7,0.438,2.8,5.9,0.469,0.528,0.8,1.0,0.784,0.4,2.3,2.7,4.1,1.0,0.1,0.8,1.3,9.8
1,22.0,32.0,25.0,26.4,5.4,12.0,0.449,1.1,3.4,0.318,4.3,8.6,0.502,0.495,2.4,3.3,0.731,0.6,2.4,3.0,4.0,0.8,0.4,1.9,1.9,14.3
1,21.0,36.0,35.0,34.6,7.2,16.6,0.432,1.8,5.3,0.335,5.4,11.3,0.478,0.486,2.7,3.3,0.829,1.0,3.6,4.6,5.0,0.9,0.4,2.5,2.0,18.8
