Al Horford,2018-19,32,BOS,NBA,C,29,29,28.7,5,10.1,0.5,1.3,3.5,0.373,3.7,6.6,0.568,0.565,0.8,1.2,0.706,1.6,4.7,6.3,3.7,0.8,1.4,1.5,1.8,12.2
Danuel House,2018-19,25,HOU,NBA,SF,19,6,23.6,2.7,5.6,0.477,1.4,3.7,0.366,1.3,1.9,0.694,0.598,2.1,2.6,0.796,0.9,2.5,3.4,0.9,0.5,0.3,0.7,1.9,8.8
Dwight Howard,2018-19,33,WAS,NBA,C,9,9,25.6,4.8,7.7,0.623,0,0,0,4.8,7.7,0.623,0.623,3.2,5.3,0.604,2.7,6.6,9.2,0.4,0.8,0.4,1.8,3.8,12.8
Kevin Huerter,2018-19,20,ATL,NBA,SG,37,21,25.5,3,7.2,0.412,1.5,4,0.381,1.5,3.2,0.45,0.517,0.6,0.8,0.724,0.8,2.1,2.9,2.3,0.7,0.4,1.5,1.9,8
Chandler Hutchison,2018-19,22,CHI,NBA,SF,34,4,17.6,1.7,3.9,0.447,0.3,0.9,0.281,1.5,2.9,0.5,0.481,0.5,0.9,0.552,0.6,2.9,3.5,0.7,0.4,0.1,0.6,1.2,4.2
Serge Ibaka,2018-19,29,TOR,NBA,C,36,27,28,6.6,12.4,0.53,0.8,2.6,0.287,5.8,9.8,0.595,0.561,2,2.5,0.802,2,5.3,7.3,1.5,0.5,1.4,1.7,3.2,15.9
Andre Iguodala,2018-19,35,GSW,NBA,SF,34,11,23.2,1.9,4.2,0.458,0.8,2,0.377,1.2,2.2,0.533,0.549,0.6,1,0.647,0.8,2.7,3.5,3,0.7,0.8,0.8,1.4,5.3
Ersan Ilyasova,2018-19,31,MIL,NBA,PF,25,2,19.9,2.8,6.3,0.439,0.9,2.6,0.354,1.8,3.7,0.5,0.513,1.1,1.3,0.875,1.6,4,5.6,1.2,0.6,0.2,1,2.9,7.6
Joe Ingles,2018-19,31,UTA,NBA,SF,39,39,30.9,4.3,9.7,0.439,2,5.5,0.367,2.3,4.2,0.533,0.543,1.1,1.7,0.642,0.3,3.7,4,4.7,1.6,0.2,2.2,2.4,11.7
Brandon Ingram,2018-19,21,LAL,NBA,SG,28,28,32,6.2,13.4,0.464,0.6,2,0.291,5.6,11.4,0.494,0.485,3.2,5.1,0.634,0.7,3.9,4.6,2.5,0.6,0.7,2.5,2.7,16.2
Kyrie Irving,2018-19,26,BOS,NBA,PG,34,34,32.3,8.8,18,0.488,2.7,6.6,0.408,6.1,11.4,0.534,0.562,2.9,3.4,0.853,1.3,3.7,4.9,6.6,1.6,0.4,2.6,2.3,23.1
Jonathan Isaac,2018-19,21,ORL,NBA,SF,32,21,24.4,2.9,6.9,0.418,0.7,2.4,0.299,2.2,4.5,0.483,0.47,1.8,2.1,0.838,1,3.8,4.8,0.8,0.8,1.2,1.1,2.1,8.3
Wesley Iwundu,2018-19,24,ORL,NBA,SF,28,12,16.8,1.5,4,0.384,0.3,1.1,0.3,1.2,2.9,0.415,0.424,1.3,1.5,0.837,0.4,1.5,1.9,0.8,0.4,0.2,0.6,1.7,4.7
Demetrius Jackson,2018-19,24,PHI,NBA,PG,6,0,6.5,1.3,2.5,0.533,0.3,1,0.333,1,1.5,0.667,0.6,0.7,0.7,1,0.3,0.2,0.5,0.8,0.3,0,0.2,0.7,3.7
Frank Jackson,2018-19,20,NOP,NBA,PG,24,0,11.8,1.5,3.8,0.4,0.6,1.6,0.368,0.9,2.2,0.423,0.478,0.5,0.8,0.722,0.1,0.7,0.8,0.5,0.1,0,0.6,1.4,4.1
Jaren Jackson,2018-19,19,MEM,NBA,C,38,36,25.5,5.1,9.8,0.52,0.8,2.4,0.337,4.3,7.4,0.58,0.562,2.4,3.1,0.778,1.2,3.5,4.7,1.2,0.9,1.6,1.6,3.9,13.4
Josh Jackson,2018-19,21,PHO,NBA,SG,40,9,21.6,3.4,8.7,0.393,0.7,2.2,0.292,2.8,6.5,0.427,0.43,1.4,2.1,0.647,0.6,3.3,3.9,2.1,1,0.6,2.3,2.4,8.9
Justin Jackson,2018-19,23,SAC,NBA,SF,37,3,21.1,2.4,5.6,0.431,1.1,3,0.351,1.4,2.6,0.52,0.524,0.8,0.9,0.8,0.5,2.4,2.9,1.3,0.5,0.2,0.4,1.3,6.7
Reggie Jackson,2018-19,28,DET,NBA,PG,36,36,28.4,5.1,12.5,0.405,2,5.8,0.344,3.1,6.7,0.458,0.486,3.1,3.5,0.866,0.7,2.1,2.8,4.4,0.7,0.2,2.1,2.9,15.2
LeBron James,2018-19,34,LAL,NBA,PF,34,34,34.6,10,19.3,0.518,2,5.6,0.356,8,13.7,0.585,0.57,5.3,7.8,0.682,0.9,7.4,8.3,7.1,1.3,0.7,3.4,1.6,27.3
Amile Jefferson,2018-19,25,ORL,NBA,PF,1,0,4,0,1,0,0,0,0,0,1,0,0,2,2,1,1,0,1,0,0,0,0,1,2
Jonas Jerebko,2018-19,31,GSW,NBA,PF,39,6,20.2,2.7,5.7,0.473,1.2,3.2,0.368,1.5,2.5,0.608,0.577,1.1,1.3,0.843,1.2,3.7,4.9,1.7,0.4,0.2,0.8,2.4,7.7
Alize Johnson,2018-19,22,IND,NBA,PF,4,0,3,0.3,0.8,0.333,0,0,0,0.3,0.8,0.333,0.333,0,0.5,0,0,1,1,0,0,0.3,0,0.8,0.5
Amir Johnson,2018-19,31,PHI,NBA,C,33,2,9.4,1.4,2.7,0.523,0.2,0.6,0.35,1.2,2.1,0.574,0.563,0.6,0.8,0.76,0.7,1.8,2.5,1.2,0.3,0.2,0.9,1.9,3.6
James Johnson,2018-19,31,MIA,NBA,PF,21,19,20.7,3.3,7.6,0.434,1,2.9,0.344,2.3,4.7,0.49,0.5,0.9,1.2,0.731,0.4,2.8,3.2,2.2,0.7,0.3,1,2.1,8.5
Stanley Johnson,2018-19,22,DET,NBA,SF,31,7,21.3,3.3,8.4,0.39,1.2,4.3,0.276,2.1,4,0.512,0.461,0.9,1.2,0.75,0.7,3.2,3.9,1.2,0.9,0.2,1.5,2.1,8.6
Tyler Johnson,2018-19,26,MIA,NBA,PG,30,4,25.4,4.1,9.3,0.444,1.7,4.3,0.391,2.5,5,0.49,0.534,1.7,2.4,0.704,0.4,2.5,3,2.4,1,0.5,1.5,1.8,11.6
Wesley Johnson,2018-19,31,NOP,NBA,SF,24,13,15.4,1.4,3.4,0.402,0.8,2,0.396,0.6,1.4,0.412,0.518,0.2,0.3,0.833,0.4,1.8,2.3,0.7,0.4,0.3,0.5,1.8,3.8
